日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,code
2020-01-02,600010,1.33,1.33,1.34,1.32,2042178,272334000.0,1.52,0.76,0.01,0.64,sh.600010
2020-01-03,600010,1.34,1.34,1.35,1.33,2463878,330344464.0,1.5,0.75,0.01,0.78,sh.600010
2020-01-06,600010,1.34,1.35,1.36,1.33,2870330,386598528.0,2.24,0.75,0.01,0.91,sh.600010
2020-01-07,600010,1.35,1.37,1.39,1.34,3524762,482354528.0,3.7,1.48,0.02,1.11,sh.600010
2020-01-08,600010,1.36,1.34,1.37,1.33,2891991,390556368.0,2.92,-2.19,-0.03,0.91,sh.600010
2020-01-09,600010,1.35,1.35,1.36,1.34,1817827,245097484.0,1.49,0.75,0.01,0.57,sh.600010
2020-01-10,600010,1.35,1.34,1.36,1.33,1489229,199664443.0,2.22,-0.74,-0.01,0.47,sh.600010
2020-01-13,600010,1.34,1.34,1.34,1.32,1543836,205286995.0,1.49,0.0,0.0,0.49,sh.600010
2020-01-14,600010,1.34,1.34,1.35,1.33,1705958,228664122.0,1.49,0.0,0.0,0.54,sh.600010
2020-01-15,600010,1.34,1.33,1.34,1.32,1318593,175188220.0,1.49,-0.75,-0.01,0.42,sh.600010
2020-01-16,600010,1.33,1.31,1.33,1.31,1416991,186899845.0,1.5,-1.5,-0.02,0.45,sh.600010
2020-01-17,600010,1.32,1.3,1.32,1.3,1147179,150060543.0,1.53,-0.76,-0.01,0.36,sh.600010
2020-01-20,600010,1.3,1.31,1.31,1.29,929107,120904005.0,1.54,0.77,0.01,0.29,sh.600010
2020-01-21,600010,1.3,1.29,1.31,1.28,1466583,189707234.0,2.29,-1.53,-0.02,0.46,sh.600010
2020-01-22,600010,1.29,1.28,1.29,1.27,1443662,184574677.0,1.55,-0.78,-0.01,0.46,sh.600010
2020-01-23,600010,1.27,1.25,1.28,1.24,2723548,342737264.0,3.13,-2.34,-0.03,0.86,sh.600010
2020-02-03,600010,1.13,1.13,1.15,1.13,4097157,463448128.0,1.6,-9.6,-0.12,1.29,sh.600010
2020-02-04,600010,1.1,1.14,1.15,1.1,3399479,384679312.0,4.42,0.88,0.01,1.07,sh.600010
2020-02-05,600010,1.13,1.16,1.18,1.13,2914315,337543920.0,4.39,1.75,0.02,0.92,sh.600010
2020-02-06,600010,1.17,1.16,1.17,1.14,2446403,282951520.0,2.59,0.0,0.0,0.77,sh.600010
