日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,code
2020-01-02,600009,78.78,77.36,78.91,77.1,158266,1228130512.0,2.3,-1.77,-1.39,1.45,sh.600009
2020-01-03,600009,77.5,77.3,77.65,76.94,91716,708178944.0,0.92,-0.08,-0.06,0.84,sh.600009
2020-01-06,600009,76.9,75.6,76.9,75.04,174588,1324704560.0,2.41,-2.2,-1.7,1.6,sh.600009
2020-01-07,600009,75.4,75.25,75.4,74.82,143461,1076915312.0,0.77,-0.46,-0.35,1.31,sh.600009
2020-01-08,600009,75.0,75.06,75.59,74.63,92660,696447824.0,1.28,-0.25,-0.19,0.85,sh.600009
2020-01-09,600009,75.59,75.56,76.06,75.37,110181,834219376.0,0.92,0.67,0.5,1.01,sh.600009
2020-01-10,600009,75.56,75.92,75.99,74.8,133487,1007257808.0,1.57,0.48,0.36,1.22,sh.600009
2020-01-13,600009,75.99,75.95,76.35,75.64,88236,670713088.0,0.94,0.04,0.03,0.81,sh.600009
2020-01-14,600009,76.01,74.56,76.28,74.46,167355,1256263808.0,2.4,-1.83,-1.39,1.53,sh.600009
2020-01-15,600009,74.57,73.5,74.57,73.22,175186,1287890128.0,1.81,-1.42,-1.06,1.6,sh.600009
2020-01-16,600009,73.68,73.49,73.99,73.27,76266,560767600.0,0.98,-0.01,-0.01,0.7,sh.600009
2020-01-17,600009,73.79,73.26,73.98,73.02,110841,814378288.0,1.31,-0.31,-0.23,1.01,sh.600009
2020-01-20,600009,72.88,71.95,73.2,71.25,257889,1851491328.0,2.66,-1.79,-1.31,2.36,sh.600009
2020-01-21,600009,71.02,70.4,71.1,69.69,245966,1724334432.0,1.96,-2.15,-1.55,2.25,sh.600009
2020-01-22,600009,69.72,70.96,71.6,69.7,188290,1335024624.0,2.7,0.8,0.56,1.72,sh.600009
2020-01-23,600009,70.09,68.98,70.33,68.49,217067,1507332176.0,2.59,-2.79,-1.98,1.99,sh.600009
2020-02-03,600009,62.08,63.8,65.48,62.08,520899,3296092432.0,4.93,-7.51,-5.18,4.76,sh.600009
2020-02-04,600009,65.0,68.2,69.29,64.66,359596,2436330592.0,7.26,6.9,4.4,3.29,sh.600009
2020-02-05,600009,68.8,70.3,71.17,68.39,235304,1652088080.0,4.08,3.08,2.1,2.15,sh.600009
2020-02-06,600009,71.12,71.62,71.7,70.4,182496,1303423328.0,1.85,1.88,1.32,1.67,sh.600009
2020-02-07,600009,71.15,71.71,71.99,70.68,120115,858830064.0,1.83,0.13,0.09,1.1,sh.600009
2020-02-10,600009,71.0,70.72,71.2,69.2,128646,905903024.0,2.79,-1.38,-0.99,1.18,sh.600009
2020-02-11,600009,70.91,72.22,72.43,70.85,100870,726322096.0,2.23,2.12,1.5,0.92,sh.600009
2020-02-12,600009,72.0,72.38,73.49,71.66,131361,956390272.0,2.53,0.22,0.16,1.2,sh.600009
